HMDBID,Name,Biospecimen,Subject_age,Concentration_average,Concentration_units
HMDB0000820,Propyl alcohol,Blood,Adult,0.33,uM
HMDB0000820,Propyl alcohol,Feces,Adult,1673.276333,nmol/g wet feces
HMDB0000820,Propyl alcohol,Feces,Children,505449.7045,nmol/g wet feces
HMDB0000821,Phenylacetylglycine,Saliva,Adult,19.55,uM
HMDB0000821,Phenylacetylglycine,Urine,Adult,65,umol/mmol creatinine
HMDB0000821,Phenylacetylglycine,Urine,Children,74.841,umol/mmol creatinine
HMDB0000822,p-Hydroxymandelic acid,Feces,Adult,1.844,nmol/g wet feces
HMDB0000822,p-Hydroxymandelic acid,Urine,Adult,1.2725,umol/mmol creatinine
HMDB0000822,p-Hydroxymandelic acid,Urine,Children,4,umol/mmol creatinine
HMDB0000822,p-Hydroxymandelic acid,Urine,Newborn,4.1,umol/mmol creatinine
HMDB0000824,Propionylcarnitine,Blood,Adult,0.34568,uM
HMDB0000824,Propionylcarnitine,Blood,Children,0.564,uM
HMDB0000824,Propionylcarnitine,Blood,Infant,0.58,uM
HMDB0000824,Propionylcarnitine,Blood,Newborn,0.24,uM
HMDB0000824,Propionylcarnitine,Cerebrospinal Fluid (CSF),Adult,0.018,uM
HMDB0000824,Propionylcarnitine,Feces,Adult,0.215,nmol/g wet feces
HMDB0000824,Propionylcarnitine,Saliva,Adult,0.068,uM
HMDB0000824,Propionylcarnitine,Urine,Adolescent,86.75,umol/mmol creatinine
HMDB0000824,Propionylcarnitine,Urine,Adult,0.07,umol/mmol creatinine
HMDB0000824,Propionylcarnitine,Urine,Children,0.4814,umol/mmol creatinine
HMDB0000824,Propionylcarnitine,Urine,Newborn,0.03,umol/mmol creatinine
HMDB0000825,3'-Sialyllactose,Breast Milk,Adult,149.6695645,uM
HMDB0000826,Pentadecanoic acid,Blood,Adult,100.7808333,uM
HMDB0000827,Stearic acid,Blood,Adult,334.1090037,uM
HMDB0000827,Stearic acid,Cerebrospinal Fluid (CSF),Adult,10,uM
HMDB0000827,Stearic acid,Feces,Adult,58.212,nmol/g wet feces
HMDB0000827,Stearic acid,Saliva,Adult,6.88,uM
HMDB0000827,Stearic acid,Urine,Adult,2.565,umol/mmol creatinine
HMDB0000827,Stearic acid,Urine,Children,18.703,umol/mmol creatinine
HMDB0000827,Stearic acid,Urine,Infant,3.37,umol/mmol creatinine
HMDB0000830,Neuraminic acid,Blood,Adult,0.57,uM
HMDB0000830,Neuraminic acid,Cerebrospinal Fluid (CSF),Adult,25.06666667,uM
HMDB0000830,Neuraminic acid,Cerebrospinal Fluid (CSF),Children,25.9,uM
HMDB0000830,Neuraminic acid,Urine,Children,46.5385,umol/mmol creatinine
HMDB0000832,Capryloylglycine,Urine,Adult,7.50E-04,umol/mmol creatinine
HMDB0000832,Capryloylglycine,Urine,Children,0.1,umol/mmol creatinine
HMDB0000840,Salicyluric acid,Blood,Adult,1,uM
HMDB0000840,Salicyluric acid,Urine,Adult,3.1075,umol/mmol creatinine
HMDB0000842,Quinaldic acid,Blood,Adult,0.1,uM
HMDB0000845,Neopterin,Blood,Adult,0.00745,uM
HMDB0000845,Neopterin,Cerebrospinal Fluid (CSF),Adolescent,0.0175,uM
HMDB0000845,Neopterin,Cerebrospinal Fluid (CSF),Adult,0.017733333,uM
HMDB0000845,Neopterin,Cerebrospinal Fluid (CSF),Children,0.008,uM
HMDB0000845,Neopterin,Urine,Adult,0.22,umol/mmol creatinine
HMDB0000845,Neopterin,Urine,Children,0.36,umol/mmol creatinine
HMDB0000845,Neopterin,Urine,Newborn,1.7,umol/mmol creatinine
HMDB0000848,Stearoylcarnitine,Blood,Adult,0.053333333,uM
HMDB0000848,Stearoylcarnitine,Feces,Adult,0.44,nmol/g wet feces
HMDB0000848,Stearoylcarnitine,Urine,Newborn,0.01,umol/mmol creatinine
HMDB0000851,Pyridinoline,Urine,Adult,0.033,umol/mmol creatinine
HMDB0000852,beta-Sitosterol,Blood,Adult,8.5968,uM
HMDB0000852,beta-Sitosterol,Urine,Adult,1.70E-04,umol/mmol creatinine
HMDB0000854,Formiminoglutamic acid,Urine,Adult,0.47,umol/mmol creatinine
HMDB0000854,Formiminoglutamic acid,Urine,Infant,0.9,umol/mmol creatinine
HMDB0000857,Pimelic acid,Blood,Infant,0.21,uM
HMDB0000857,Pimelic acid,Urine,Adult,2.05,umol/mmol creatinine
HMDB0000857,Pimelic acid,Urine,Children,5.697,umol/mmol creatinine
HMDB0000857,Pimelic acid,Urine,Infant,0.1,umol/mmol creatinine
HMDB0000857,Pimelic acid,Urine,Newborn,2.4,umol/mmol creatinine
HMDB0000858,Monomethyl glutaric acid,Urine,Adult,2.3,umol/mmol creatinine
HMDB0000858,Monomethyl glutaric acid,Urine,Children,5.165,umol/mmol creatinine
HMDB0000860,Phenylpropionylglycine,Urine,Adult,0.0239125,umol/mmol creatinine
HMDB0000860,Phenylpropionylglycine,Urine,Children,0,umol/mmol creatinine
HMDB0000860,Phenylpropionylglycine,Urine,Newborn,0.01,umol/mmol creatinine
HMDB0000863,Isopropyl alcohol,Blood,Adult,66,uM
HMDB0000863,Isopropyl alcohol,Cerebrospinal Fluid (CSF),Adult,22,uM
HMDB0000863,Isopropyl alcohol,Saliva,Adult,9.71,uM
HMDB0000863,Isopropyl alcohol,Urine,Children,3.702,umol/mmol creatinine
HMDB0000866,N-Acetyl-L-tyrosine,Urine,Adult,0,umol/mmol creatinine
HMDB0000866,N-Acetyl-L-tyrosine,Urine,Children,5,umol/mmol creatinine
HMDB0000866,N-Acetyl-L-tyrosine,Urine,Infant,1.6,umol/mmol creatinine
HMDB0000868,Xylulose 5-phosphate,Cellular Cytoplasm,Adult,0.43,uM
HMDB0000870,Histamine,Blood,Adult,0.007835,uM
HMDB0000870,Histamine,Cerebrospinal Fluid (CSF),Adult,0.155800667,uM
HMDB0000870,Histamine,Feces,Adult,20,nmol/g wet feces
HMDB0000870,Histamine,Saliva,Adult,0.690142857,uM
HMDB0000870,Histamine,Urine,Adult,7.81575,umol/mmol creatinine
HMDB0000870,Histamine,Urine,Children,9.906,umol/mmol creatinine
HMDB0000870,Histamine,Urine,Newborn,0.02,umol/mmol creatinine
HMDB0000872,Tetradecanedioic acid,Blood,Infant,0.11,uM
HMDB0000873,4-Methylcatechol,Feces,Adult,11.0765,nmol/g wet feces
HMDB0000873,4-Methylcatechol,Urine,Adult,1.8,umol/mmol creatinine
HMDB0000874,Tauroursodeoxycholic acid,Blood,Adult,1.0026,uM
HMDB0000874,Tauroursodeoxycholic acid,Feces,Adult,0.3,nmol/g dry feces
HMDB0000875,Trigonelline,Blood,Adult,5.4,uM
HMDB0000875,Trigonelline,Urine,Adult,23.59,umol/mmol creatinine
HMDB0000875,Trigonelline,Urine,Children,8.983,umol/mmol creatinine
HMDB0000876,Vitamin D3,Blood,Adult,0.03705,uM
HMDB0000876,Vitamin D3,Saliva,Adult,0.006,uM
HMDB0000878,Ergosterol,Blood,Adult,0.009326,uM
HMDB0000879,Tetrahydrodeoxycorticosterone,Blood,Adult,0.0052,uM
HMDB0000879,Tetrahydrodeoxycorticosterone,Urine,Adult,0.0195,umol/mmol creatinine
HMDB0000881,Xanthurenic acid,Blood,Adult,0.022,uM
HMDB0000881,Xanthurenic acid,Blood,Children,0,uM
HMDB0000881,Xanthurenic acid,Urine,Adult,1.28,umol/mmol creatinine
HMDB0000881,Xanthurenic acid,Urine,Children,2.530666667,umol/mmol creatinine
HMDB0000881,Xanthurenic acid,Urine,Infant,0.1,umol/mmol creatinine
HMDB0000883,L-Valine,Blood,Adolescent,210,uM
HMDB0000883,L-Valine,Blood,Adult,229.2636364,uM
HMDB0000883,L-Valine,Blood,Children,201.15,uM
HMDB0000883,L-Valine,Blood,Infant,248,uM
HMDB0000883,L-Valine,Blood,Newborn,184,uM
HMDB0000883,L-Valine,Breast Milk,Adult,48.7,uM
HMDB0000883,L-Valine,Cerebrospinal Fluid (CSF),Adolescent,18,uM
HMDB0000883,L-Valine,Cerebrospinal Fluid (CSF),Adult,19.18571429,uM
HMDB0000883,L-Valine,Cerebrospinal Fluid (CSF),Children,15.25,uM
HMDB0000883,L-Valine,Feces,Adult,2416.656571,nmol/g wet feces
HMDB0000883,L-Valine,Feces,Infant,60247.55167,nmol/g wet feces
HMDB0000883,L-Valine,Saliva,Adult,14.86428571,uM
HMDB0000883,L-Valine,Sweat,Adult,70,uM
HMDB0000883,L-Valine,Urine,Adolescent,6.05,umol/mmol creatinine
HMDB0000883,L-Valine,Urine,Adult,4.581071429,umol/mmol creatinine
HMDB0000883,L-Valine,Urine,Children,5.275214286,umol/mmol creatinine
HMDB0000883,L-Valine,Urine,Infant,0.95,umol/mmol creatinine
HMDB0000883,L-Valine,Urine,Newborn,12.73333333,umol/mmol creatinine
HMDB0000884,Ribothymidine,Blood,Adult,0.1995,uM
HMDB0000884,Ribothymidine,Urine,Adult,0.28,umol/mmol creatinine
HMDB0000885,CE(16:0),Blood,Adult,250.865,uM
HMDB0000888,Undecanedioic acid,Blood,Infant,0.44,uM
HMDB0000892,Valeric acid,Blood,Adult,0.6,uM
HMDB0000892,Valeric acid,Feces,Adult,2631.764286,nmol/g wet feces
HMDB0000892,Valeric acid,Feces,Children,195678.717,nmol/g wet feces
HMDB0000892,Valeric acid,Saliva,Adult,18.905,uM
HMDB0000892,Valeric acid,Urine,Children,4.038,umol/mmol creatinine
HMDB0000893,Suberic acid,Blood,Adult,3.6,uM
HMDB0000893,Suberic acid,Blood,Infant,0.14,uM
HMDB0000893,Suberic acid,Cerebrospinal Fluid (CSF),Adult,1.7,uM
HMDB0000893,Suberic acid,Feces,Adult,23.307,nmol/g wet feces
HMDB0000893,Suberic acid,Urine,Adolescent,6.6,umol/mmol creatinine
HMDB0000893,Suberic acid,Urine,Adult,1.15625,umol/mmol creatinine
HMDB0000893,Suberic acid,Urine,Children,10.299,umol/mmol creatinine
HMDB0000893,Suberic acid,Urine,Infant,6.68,umol/mmol creatinine
HMDB0000893,Suberic acid,Urine,Newborn,7,umol/mmol creatinine
HMDB0000895,Acetylcholine,Blood,Adult,2.1,uM
HMDB0000895,Acetylcholine,Cerebrospinal Fluid (CSF),Adult,0.034,uM
HMDB0000895,Acetylcholine,Saliva,Adult,8.56,uM
HMDB0000896,Taurodeoxycholic acid,Blood,Adult,0.05015,uM
HMDB0000896,Taurodeoxycholic acid,Feces,Adult,4.32,nmol/g dry feces
HMDB0000897,7-Methylguanine,Blood,Adult,0.108,uM
HMDB0000898,1-Methylhistamine,Blood,Adult,3.40E-04,uM
HMDB0000898,1-Methylhistamine,Cerebrospinal Fluid (CSF),Adult,0.28158725,uM
HMDB0000898,1-Methylhistamine,Cerebrospinal Fluid (CSF),Children,0.006,uM
HMDB0000898,1-Methylhistamine,Saliva,Adult,0.0181,uM
HMDB0000898,1-Methylhistamine,Urine,Adult,0.097666667,umol/mmol creatinine
HMDB0000899,Androstanedione,Blood,Adult,3.60E-04,uM
HMDB0000900,Ergocalciferol,Blood,Adult,0.00275,uM
HMDB0000900,Ergocalciferol,Saliva,Adult,0.008,uM
HMDB0000902,NAD,Blood,Adult,24.3,uM
HMDB0000902,NAD,Cellular Cytoplasm,Adult,88.7,uM
HMDB0000903,Tetrahydrocortisone,Urine,Adult,0.41,umol/mmol creatinine
HMDB0000904,Citrulline,Blood,Adult,34.975,uM
HMDB0000904,Citrulline,Blood,Children,28.35,uM
HMDB0000904,Citrulline,Blood,Infant,16,uM
HMDB0000904,Citrulline,Blood,Newborn,23.83333333,uM
HMDB0000904,Citrulline,Cerebrospinal Fluid (CSF),Adolescent,2.25,uM
HMDB0000904,Citrulline,Cerebrospinal Fluid (CSF),Adult,3.106,uM
HMDB0000904,Citrulline,Cerebrospinal Fluid (CSF),Children,2.2,uM
HMDB0000904,Citrulline,Feces,Adult,205,nmol/g wet feces
HMDB0000904,Citrulline,Saliva,Adult,17.51625,uM
HMDB0000904,Citrulline,Sweat,Adult,5,uM
HMDB0000904,Citrulline,Urine,Adolescent,1.385,umol/mmol creatinine
HMDB0000904,Citrulline,Urine,Adult,0.733333333,umol/mmol creatinine
HMDB0000904,Citrulline,Urine,Children,10.22146667,umol/mmol creatinine
HMDB0000904,Citrulline,Urine,Infant,5.2627,umol/mmol creatinine
HMDB0000904,Citrulline,Urine,Newborn,23.36333333,umol/mmol creatinine
HMDB0000906,Trimethylamine,Blood,Adult,13.485,uM
HMDB0000906,Trimethylamine,Cerebrospinal Fluid (CSF),Adult,0.0679,uM
HMDB0000906,Trimethylamine,Saliva,Adult,89.86,uM
HMDB0000906,Trimethylamine,Urine,Adult,5.1,umol/mmol creatinine
HMDB0000906,Trimethylamine,Urine,Children,3.366,umol/mmol creatinine
HMDB0000906,Trimethylamine,Urine,Newborn,40,umol/mmol creatinine
HMDB0000907,Sulfolithocholic acid,Blood,Adult,1.6,uM
HMDB0000907,Sulfolithocholic acid,Feces,Adult,7.76,nmol/g dry feces
HMDB0000908,5alpha-Cholestanol,Blood,Adult,9.26,uM
HMDB0000912,Succinyladenosine,Urine,Adult,9.9,umol/mmol creatinine
HMDB0000912,Succinyladenosine,Urine,Children,10.5,umol/mmol creatinine
HMDB0000912,Succinyladenosine,Urine,Infant,5.95,umol/mmol creatinine
HMDB0000913,Vanillactic acid,Urine,Adult,0.0933,umol/mmol creatinine
HMDB0000918,CE(18:1(9Z)),Blood,Adult,573.1566667,uM
HMDB0000921,Cholestenone,Blood,Adult,0.079,uM
HMDB0000925,Trimethylamine N-oxide,Blood,Adult,26.25666667,uM
HMDB0000925,Trimethylamine N-oxide,Feces,Infant,21021.10533,nmol/g wet feces
HMDB0000925,Trimethylamine N-oxide,Urine,Adult,76.98,umol/mmol creatinine
HMDB0000925,Trimethylamine N-oxide,Urine,Children,69.88,umol/mmol creatinine
HMDB0000925,Trimethylamine N-oxide,Urine,Newborn,9.86,umol/mmol creatinine
HMDB0000927,Valerylglycine,Urine,Adult,0.0738125,umol/mmol creatinine
HMDB0000927,Valerylglycine,Urine,Newborn,0.06,umol/mmol creatinine
HMDB0000929,L-Tryptophan,Blood,Adult,57.72333333,uM
HMDB0000929,L-Tryptophan,Blood,Children,36.5,uM
HMDB0000929,L-Tryptophan,Blood,Infant,73.9,uM
HMDB0000929,L-Tryptophan,Blood,Newborn,94.45,uM
HMDB0000929,L-Tryptophan,Breast Milk,Adult,3.2,uM
HMDB0000929,L-Tryptophan,Cerebrospinal Fluid (CSF),Adolescent,4.75,uM
HMDB0000929,L-Tryptophan,Cerebrospinal Fluid (CSF),Adult,5.978888889,uM
HMDB0000929,L-Tryptophan,Cerebrospinal Fluid (CSF),Children,1.48,uM
HMDB0000929,L-Tryptophan,Feces,Adult,95,nmol/g wet feces
HMDB0000929,L-Tryptophan,Saliva,Adult,1.92,uM
HMDB0000929,L-Tryptophan,Sweat,Adult,5,uM
HMDB0000929,L-Tryptophan,Urine,Adolescent,14.04333333,umol/mmol creatinine
HMDB0000929,L-Tryptophan,Urine,Adult,5.5805,umol/mmol creatinine
HMDB0000929,L-Tryptophan,Urine,Children,9.682,umol/mmol creatinine
HMDB0000929,L-Tryptophan,Urine,Infant,13.52,umol/mmol creatinine
HMDB0000929,L-Tryptophan,Urine,Newborn,13.17571429,umol/mmol creatinine
HMDB0000930,trans-Cinnamic acid,Saliva,Adult,0.869,uM
HMDB0000936,Uroporphyrin I,Blood,Adult,0.012,uM
HMDB0000936,Uroporphyrin I,Blood,Newborn,6.00E-04,uM
HMDB0000936,Uroporphyrin I,Urine,Adult,9.20E-04,umol/mmol creatinine
HMDB0000937,Stigmasterol,Blood,Adult,5.573,uM
HMDB0000937,Stigmasterol,Blood,Children,11.15,uM
HMDB0000937,Stigmasterol,Urine,Adult,3.00E-05,umol/mmol creatinine
HMDB0000939,S-Adenosylhomocysteine,Blood,Adult,0.015,uM
HMDB0000939,S-Adenosylhomocysteine,Blood,Elderly,0.46,uM
HMDB0000939,S-Adenosylhomocysteine,Cerebrospinal Fluid (CSF),Adult,0.01715,uM
HMDB0000943,Threonic acid,Blood,Adult,3.035,uM
HMDB0000943,Threonic acid,Urine,Adolescent,3.1,umol/mmol creatinine
HMDB0000943,Threonic acid,Urine,Adult,15.2,umol/mmol creatinine
HMDB0000943,Threonic acid,Urine,Children,46.714,umol/mmol creatinine
HMDB0000943,Threonic acid,Urine,Infant,13.4,umol/mmol creatinine
HMDB0000943,Threonic acid,Urine,Newborn,38.6,umol/mmol creatinine
HMDB0000944,Behenic acid,Blood,Adult,12.18825,uM
HMDB0000944,Behenic acid,Urine,Adolescent,23.277,umol/mmol creatinine
HMDB0000946,Ursodeoxycholic acid,Blood,Adult,0.1294,uM
HMDB0000946,Ursodeoxycholic acid,Feces,Adult,27.05,nmol/g dry feces
HMDB0000946,Ursodeoxycholic acid,Urine,Adult,0.022,umol/mmol creatinine
HMDB0000949,Tetrahydrocortisol,Urine,Adult,0.18,umol/mmol creatinine
HMDB0000950,Cer(d18:1/23:0),Blood,Adult,0.43,uM
HMDB0000951,Taurochenodesoxycholic acid,Blood,Adult,0.1793,uM
HMDB0000951,Taurochenodesoxycholic acid,Blood,Infant,0.3,uM
HMDB0000951,Taurochenodesoxycholic acid,Feces,Adult,6.03,nmol/g dry feces
HMDB0000951,Taurochenodesoxycholic acid,Urine,Children,6.50E-04,umol/mmol creatinine
HMDB0000953,Suberylglycine,Urine,Adult,0.29,umol/mmol creatinine
HMDB0000953,Suberylglycine,Urine,Children,0,umol/mmol creatinine
HMDB0000953,Suberylglycine,Urine,Newborn,13.24766667,umol/mmol creatinine
HMDB0000954,Ferulic acid,Blood,Adult,0.0699,uM
HMDB0000954,Ferulic acid,Feces,Adult,9.6672,nmol/g wet feces
HMDB0000954,Ferulic acid,Urine,Adult,5.363,umol/mmol creatinine
HMDB0000954,Ferulic acid,Urine,Children,4.5915,umol/mmol creatinine
HMDB0000955,Isoferulic acid,Blood,Adult,0.308125,uM
HMDB0000955,Isoferulic acid,Feces,Adult,20.805,nmol/g wet feces
HMDB0000955,Isoferulic acid,Urine,Adult,0.1638,umol/mmol creatinine
HMDB0000956,Tartaric acid,Blood,Adult,0.032,uM
HMDB0000956,Tartaric acid,Urine,Adult,11.9,umol/mmol creatinine
HMDB0000956,Tartaric acid,Urine,Children,38.183,umol/mmol creatinine
HMDB0000956,Tartaric acid,Urine,Newborn,30,umol/mmol creatinine
HMDB0000957,Pyrocatechol,Blood,Adult,1.412875,uM
HMDB0000957,Pyrocatechol,Feces,Adult,13.229,nmol/g wet feces
HMDB0000957,Pyrocatechol,Urine,Adult,6.049,umol/mmol creatinine
HMDB0000957,Pyrocatechol,Urine,Newborn,7.5,umol/mmol creatinine
HMDB0000958,trans-Aconitic acid,Urine,Adult,4.99,umol/mmol creatinine
HMDB0000958,trans-Aconitic acid,Urine,Children,17.3965,umol/mmol creatinine
HMDB0000958,trans-Aconitic acid,Urine,Infant,24.351,umol/mmol creatinine
HMDB0000959,Tiglylglycine,Urine,Adult,1.8,umol/mmol creatinine
HMDB0000959,Tiglylglycine,Urine,Children,2.3,umol/mmol creatinine
HMDB0000959,Tiglylglycine,Urine,Infant,0.05,umol/mmol creatinine
HMDB0000959,Tiglylglycine,Urine,Newborn,0.1,umol/mmol creatinine
HMDB0000961,Farnesyl pyrophosphate,Blood,Adult,0.0086,uM
HMDB0000962,Lipoamide,Saliva,Adult,0.354,uM
HMDB0000965,Hypotaurine,Blood,Adult,0.9,uM
HMDB0000965,Hypotaurine,Saliva,Adult,0.565333333,uM
HMDB0000965,Hypotaurine,Urine,Adult,0.65,umol/mmol creatinine
HMDB0000975,Trehalose,Urine,Children,5.298,umol/mmol creatinine
HMDB0000982,5-Methylcytidine,Urine,Adult,2.2,umol/mmol creatinine
HMDB0000990,Acetaldehyde,Blood,Adult,1,uM
HMDB0000990,Acetaldehyde,Cerebrospinal Fluid (CSF),Adult,39.15,uM
HMDB0000990,Acetaldehyde,Sweat,Adult,5,uM
HMDB0000990,Acetaldehyde,Urine,Adult,2.6,umol/mmol creatinine
HMDB0000990,Acetaldehyde,Urine,Infant,23.6,umol/mmol creatinine
HMDB0000996,3-Sulfinoalanine,Blood,Adult,1.38,uM
HMDB0000996,3-Sulfinoalanine,Saliva,Adult,0.378533333,uM
HMDB0000998,dCTP,Blood,Adult,29,uM
HMDB0001000,dUDP,Blood,Adult,0.5,uM
HMDB0001008,Biliverdin,Blood,Adult,6.2,uM
HMDB0001032,Dehydroepiandrosterone sulfate,Blood,Adolescent,9.046666667,uM
HMDB0001032,Dehydroepiandrosterone sulfate,Blood,Adult,3.37,uM
HMDB0001032,Dehydroepiandrosterone sulfate,Blood,Children,2.713333333,uM
HMDB0001032,Dehydroepiandrosterone sulfate,Blood,Infant,5.5625,uM
HMDB0001032,Dehydroepiandrosterone sulfate,Blood,Newborn,34.8,uM
HMDB0001032,Dehydroepiandrosterone sulfate,Urine,Adult,1.295,umol/mmol creatinine
HMDB0001035,Angiotensin II,Blood,Adolescent,2.68E-05,uM
HMDB0001035,Angiotensin II,Cerebrospinal Fluid (CSF),Adult,6.42E-06,uM
HMDB0001035,Angiotensin II,Urine,Adult,1.20E-06,umol/mmol creatinine
HMDB0001043,Arachidonic acid,Blood,Adult,198.1578933,uM
HMDB0001043,Arachidonic acid,Cerebrospinal Fluid (CSF),Adult,0.35,uM
HMDB0001043,Arachidonic acid,Urine,Adult,2.45,umol/mmol creatinine
HMDB0001045,Enkephalin L,Blood,Adult,3.00E-04,uM
HMDB0001046,Cotinine,Blood,Adult,0.79733525,uM
HMDB0001046,Cotinine,Blood,Children,2.84E-04,uM
HMDB0001046,Cotinine,Cerebrospinal Fluid (CSF),Adult,0.112,uM
HMDB0001046,Cotinine,Saliva,Adult,0.5,uM
HMDB0001049,gamma-Glutamylcysteine,Blood,Adult,9.983333333,uM
HMDB0001049,gamma-Glutamylcysteine,Urine,Adult,0.46,umol/mmol creatinine
HMDB0001051,Glyceraldehyde,Blood,Adult,1476,uM
HMDB0001051,Glyceraldehyde,Urine,Children,50,umol/mmol creatinine
HMDB0001056,Dihydrofolic acid,Blood,Adult,0.005,uM
HMDB0001058,"Fructose 1,6-bisphosphate",Blood,Adult,1.2,uM
HMDB0001058,"Fructose 1,6-bisphosphate",Blood,Newborn,3.8,uM
HMDB0001058,"Fructose 1,6-bisphosphate",Cellular Cytoplasm,Adult,7.6,uM
HMDB0001060,Ubiquinol 8,Blood,Adolescent,0.4,uM
HMDB0001062,N-Acetyl-D-Glucosamine 6-Phosphate,Saliva,Adult,0.1825,uM
HMDB0001065,2-Hydroxyphenethylamine,Blood,Adult,0.002765,uM
HMDB0001067,N-Acetylaspartylglutamic acid,Blood,Adult,4.89,uM
HMDB0001067,N-Acetylaspartylglutamic acid,Cerebrospinal Fluid (CSF),Adult,4.55,uM
HMDB0001067,N-Acetylaspartylglutamic acid,Cerebrospinal Fluid (CSF),Children,3.42,uM
HMDB0001067,N-Acetylaspartylglutamic acid,Cerebrospinal Fluid (CSF),Adult,2.2,umol/mmol creatinine
HMDB0001067,N-Acetylaspartylglutamic acid,Urine,Adult,2.525,umol/mmol creatinine
HMDB0001068,D-Sedoheptulose 7-phosphate,Blood,Adult,0.89,uM
HMDB0001068,D-Sedoheptulose 7-phosphate,Blood,Children,1.15,uM
HMDB0001068,D-Sedoheptulose 7-phosphate,Cellular Cytoplasm,Adult,74.9,uM
HMDB0001068,D-Sedoheptulose 7-phosphate,Saliva,Adult,0.603,uM
HMDB0001072,Coenzyme Q10,Blood,Adult,1.179333333,uM
HMDB0001081,(N-acetylneuraminosyl(a2-6)lactosamine),Breast Milk,Adult,250.2962012,uM
HMDB0001085,Leukotriene B4,Blood,Adult,1.17E-04,uM
HMDB0001085,Leukotriene B4,Blood,Infant,0.0309,uM
HMDB0001085,Leukotriene B4,Cerebrospinal Fluid (CSF),Adult,1.15E-04,uM
HMDB0001085,Leukotriene B4,Cerebrospinal Fluid (CSF),Children,0.00187,uM
HMDB0001085,Leukotriene B4,Cerebrospinal Fluid (CSF),Infant,1.15E-04,uM
HMDB0001085,Leukotriene B4,Urine,Children,3.00E-05,umol/mmol creatinine
HMDB0001085,Leukotriene B4,Urine,Infant,2.50E-09,umol/mmol creatinine
HMDB0001096,Carbamoyl phosphate,Saliva,Adult,29.075,uM
HMDB0001112,Glyceraldehyde 3-phosphate,Blood,Adult,4.8,uM
HMDB0001112,Glyceraldehyde 3-phosphate,Cellular Cytoplasm,Adult,6.7,uM
HMDB0001123,2-Aminobenzoic acid,Blood,Adult,0.0155,uM
HMDB0001123,2-Aminobenzoic acid,Cerebrospinal Fluid (CSF),Adult,0.001,uM
HMDB0001123,2-Aminobenzoic acid,Urine,Adult,0.31,umol/mmol creatinine
HMDB0001127,6-Phosphonoglucono-D-lactone,Cellular Cytoplasm,Adult,0.00762,uM
HMDB0001138,N-Acetyl-L-glutamic acid,Blood,Adult,0.062,uM
HMDB0001138,N-Acetyl-L-glutamic acid,Saliva,Adult,0.06415,uM
HMDB0001138,N-Acetyl-L-glutamic acid,Urine,Adult,1,umol/mmol creatinine
HMDB0001138,N-Acetyl-L-glutamic acid,Urine,Children,6.515,umol/mmol creatinine
HMDB0001138,N-Acetyl-L-glutamic acid,Urine,Newborn,21,umol/mmol creatinine
HMDB0001139,Prostaglandin F2a,Blood,Adult,2.11E-04,uM
HMDB0001139,Prostaglandin F2a,Cerebrospinal Fluid (CSF),Adult,7.64E-04,uM
HMDB0001139,Prostaglandin F2a,Urine,Adult,2.04E-04,umol/mmol creatinine
HMDB0001139,Prostaglandin F2a,Urine,Newborn,1.30E-04,umol/mmol creatinine
HMDB0001140,Octanal,Feces,Children,29261.4315,nmol/g wet feces
HMDB0001149,5-Aminolevulinic acid,Blood,Newborn,0.35,uM
HMDB0001149,5-Aminolevulinic acid,Urine,Adult,2.106666667,umol/mmol creatinine
HMDB0001149,5-Aminolevulinic acid,Urine,Children,4.6165,umol/mmol creatinine
HMDB0001149,5-Aminolevulinic acid,Urine,Newborn,10,umol/mmol creatinine
HMDB0001160,Tricosanoic acid,Blood,Adult,0.033,uM
HMDB0001161,4-Trimethylammoniobutanoic acid,Blood,Adult,6.26,uM
HMDB0001161,4-Trimethylammoniobutanoic acid,Saliva,Adult,0.927,uM
HMDB0001165,Keratan,Blood,Adult,0.14,uM
HMDB0001167,Pyruvaldehyde,Blood,Adult,37.081,uM
HMDB0001169,4-Aminophenol,Blood,Adult,5.2,uM
HMDB0001170,Lathosterol,Blood,Adult,5.7725,uM
HMDB0001170,Lathosterol,Blood,Children,9,uM
HMDB0001170,Lathosterol,Blood,Newborn,6.45E-05,uM
HMDB0001173,5'-Methylthioadenosine,Urine,Adult,0.123333333,umol/mmol creatinine
HMDB0001183,Octanol,Feces,Adult,10.23833333,nmol/g wet feces
HMDB0001183,Octanol,Feces,Children,2700.394,nmol/g wet feces
HMDB0001185,S-Adenosylmethionine,Blood,Adult,0.0855,uM
HMDB0001185,S-Adenosylmethionine,Cerebrospinal Fluid (CSF),Adult,0.25,uM
HMDB0001186,N1-Acetylspermine,Urine,Adult,0.015,umol/mmol creatinine
HMDB0001190,Indoleacetaldehyde,Blood,Adult,1,uM
HMDB0001190,Indoleacetaldehyde,Saliva,Adult,7.24,uM
HMDB0001198,Leukotriene C4,Blood,Adult,3.78E-04,uM
HMDB0001198,Leukotriene C4,Blood,Infant,0.0153,uM
HMDB0001198,Leukotriene C4,Cerebrospinal Fluid (CSF),Adult,6.72E-05,uM
HMDB0001198,Leukotriene C4,Cerebrospinal Fluid (CSF),Children,1.33E-04,uM
HMDB0001198,Leukotriene C4,Cerebrospinal Fluid (CSF),Infant,6.98E-05,uM
HMDB0001201,Guanosine diphosphate,Blood,Adult,16.5,uM
