HMDBID,Name,Biospecimen,Subject_age,Concentration_average,Concentration_units
HMDB0008588,PC(22:1(13Z)/P-18:1(11Z)),Blood,Adult,0.32,uM
HMDB0008588,PC(22:1(13Z)/P-18:1(11Z)),Blood,Infant,0.29,uM
HMDB0008588,PC(22:1(13Z)/P-18:1(11Z)),Blood,Newborn,0.25,uM
HMDB0008588,PC(22:1(13Z)/P-18:1(11Z)),Feces,Adult,0.085,nmol/g wet feces
HMDB0008589,PC(22:1(13Z)/P-18:1(9Z)),Blood,Adolescent,0.36,uM
HMDB0008589,PC(22:1(13Z)/P-18:1(9Z)),Blood,Adult,0.32,uM
HMDB0008589,PC(22:1(13Z)/P-18:1(9Z)),Blood,Infant,0.29,uM
HMDB0008589,PC(22:1(13Z)/P-18:1(9Z)),Blood,Newborn,0.25,uM
HMDB0008589,PC(22:1(13Z)/P-18:1(9Z)),Feces,Adult,0.085,nmol/g wet feces
HMDB0008590,"PC(22:2(13Z,16Z)/14:0)",Blood,Adult,258.865,uM
HMDB0008590,"PC(22:2(13Z,16Z)/14:0)",Blood,Infant,212,uM
HMDB0008590,"PC(22:2(13Z,16Z)/14:0)",Blood,Newborn,44.5,uM
HMDB0008590,"PC(22:2(13Z,16Z)/14:0)",Feces,Adult,1.15,nmol/g wet feces
HMDB0008590,"PC(22:2(13Z,16Z)/14:0)",Saliva,Adult,0.2,uM
HMDB0008590,"PC(22:2(13Z,16Z)/14:0)",Urine,Adult,0.016,umol/mmol creatinine
HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",Blood,Adult,147.7,uM
HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",Blood,Infant,106,uM
HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",Blood,Newborn,63.7,uM
HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",Feces,Adult,1.37,nmol/g wet feces
HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",Saliva,Adult,0.082,uM
HMDB0008591,"PC(22:2(13Z,16Z)/14:1(9Z))",Urine,Adult,0.0024,umol/mmol creatinine
HMDB0008594,"PC(22:2(13Z,16Z)/16:1(9Z))",Blood,Adult,54.82,uM
HMDB0008594,"PC(22:2(13Z,16Z)/16:1(9Z))",Blood,Infant,32.8,uM
HMDB0008594,"PC(22:2(13Z,16Z)/16:1(9Z))",Blood,Newborn,36.1,uM
HMDB0008594,"PC(22:2(13Z,16Z)/16:1(9Z))",Feces,Adult,0.17,nmol/g wet feces
HMDB0008594,"PC(22:2(13Z,16Z)/16:1(9Z))",Saliva,Adult,0.05,uM
HMDB0008594,"PC(22:2(13Z,16Z)/16:1(9Z))",Urine,Adult,0.0056,umol/mmol creatinine
HMDB0008595,"PC(22:2(13Z,16Z)/18:0)",Blood,Adolescent,0.36,uM
HMDB0008595,"PC(22:2(13Z,16Z)/18:0)",Blood,Adult,0.32,uM
HMDB0008595,"PC(22:2(13Z,16Z)/18:0)",Blood,Infant,0.29,uM
HMDB0008595,"PC(22:2(13Z,16Z)/18:0)",Blood,Newborn,0.25,uM
HMDB0008595,"PC(22:2(13Z,16Z)/18:0)",Feces,Adult,0.085,nmol/g wet feces
HMDB0008595,"PC(22:2(13Z,16Z)/18:0)",Urine,Newborn,0,umol/mmol creatinine
HMDB0008596,"PC(22:2(13Z,16Z)/18:1(11Z))",Blood,Adolescent,0.47,uM
HMDB0008596,"PC(22:2(13Z,16Z)/18:1(11Z))",Blood,Adult,0.55,uM
HMDB0008596,"PC(22:2(13Z,16Z)/18:1(11Z))",Blood,Infant,0.49,uM
HMDB0008596,"PC(22:2(13Z,16Z)/18:1(11Z))",Blood,Newborn,0.54,uM
HMDB0008596,"PC(22:2(13Z,16Z)/18:1(11Z))",Feces,Adult,0.03,nmol/g wet feces
HMDB0008596,"PC(22:2(13Z,16Z)/18:1(11Z))",Urine,Adult,3.50E-04,umol/mmol creatinine
HMDB0008597,"PC(22:2(13Z,16Z)/18:1(9Z))",Blood,Adolescent,0.47,uM
HMDB0008597,"PC(22:2(13Z,16Z)/18:1(9Z))",Blood,Adult,0.55,uM
HMDB0008597,"PC(22:2(13Z,16Z)/18:1(9Z))",Blood,Infant,0.49,uM
HMDB0008597,"PC(22:2(13Z,16Z)/18:1(9Z))",Blood,Newborn,0.54,uM
HMDB0008597,"PC(22:2(13Z,16Z)/18:1(9Z))",Feces,Adult,0.03,nmol/g wet feces
